from_title,to_title,relation,confidence,n_moves,share_of_moves,years,from_last_year,to_first_year,from_family,from_level,to_family,to_level,source
REG RESP THER 1,RESP THER 2,other,low,268,0.654,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,REG RESP THER,1,RESP THER,2,claude
ASST PROF-HCOMP,ASSOC PROF-HCOMP,promotion,high,267,0.881,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,PROF-HCOMP,1,PROF-HCOMP,2,claude
LIBRARIAN - CAREER STATUS,LIBRARIAN-CAREER STATUS,rename,high,267,0.971,2012,2011,2012,LIBRARIAN - CAREER STATUS,3,LIBRARIAN-CAREER STATUS,3,claude
SYS ADM 3,SYS ADM 3 TX,variant,high,267,0.622,2023|2024,2025,2023,SYS ADM,3,SYS ADM,3,claude
LABORATORY ASST I,LAB AST 1,rename,high,266,0.62,2012,2011,2012,LABORATORY ASST,1,LAB AST,1,claude
ADMIN NURSE 2 NEX,NURSE SVC SUPV 2,other,low,265,0.596,2017|2018|2020|2022,2025,2016,ADMIN NURSE,2,NURSE SVC SUPV,2,claude
RESID PHYS II-VIII/REP,OTH POST-MD TRAIN 2-8/REP,other,low,265,0.137,2021|2022|2023|2024|2025,2025,2019,RESID PHYS II,8,OTH POST-MD TRAIN 2-8,1,claude
RESEARCH _____ - FISCAL YEAR,RES-FY,rename,high,262,0.891,2012,2011,2012,RESEARCH _____ - FISCAL YEAR,3,RES-FY,3,claude
PHLEBOTOMIST CERT TCHN 2,CERT PHLEBOTOMY TCHN 2,rename,high,261,0.791,2022,2021,2022,PHLEBOTOMIST CERT TCHN,2,CERT PHLEBOTOMY TCHN,2,claude
ASST PROF-ACAD YR-BUS/ECON/ENG,ASST PROF-AY-B/E/E,rename,high,260,0.697,2012,2011,2012,PROF-ACAD YR-BUS/ECON/ENG,1,PROF-AY-B/E/E,1,claude
LIBRARY ASST III,LIBRARY AST 3,rename,high,260,0.872,2012,2011,2012,LIBRARY ASST,3,LIBRARY AST,3,claude
LAB AST 2,SRA 1,other,low,257,0.323,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,LAB AST,2,SRA,1,claude
RADLG TCHNO,RADLG TCHNO SR,promotion,high,255,0.712,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,RADLG TCHNO,1,RADLG TCHNO,2,claude
SPECIALIST (FUNCTIONAL AREA),SPEC,rename,high,255,0.876,2012,2011,2012,SPECIALIST (FUNCTIONAL AREA),3,SPEC,1,claude
LECT-AY-1/9,LECT-AY-1/10,lateral,medium,254,0.081,2016|2017|2018|2019,2025,2016,LECT-AY,1,LECT-AY,1,claude
PROF-AY,RECALL FACULTY,other,low,251,0.172,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2014,PROF-AY,3,RECALL FACULTY,1,claude
STDT AFFAIRS OFCR 2,STDT AFFAIRS OFCR 3 EX,promotion,medium,248,0.192,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2023,2012,STDT AFFAIRS OFCR,2,STDT AFFAIRS OFCR,3,claude
RSCH DATA ANL 3,RSCH DATA ANL 3 RP,variant,high,247,0.605,2025,2025,2025,RSCH DATA ANL,3,RSCH DATA ANL,3,claude
ASSOC PROJ SCIENTIST-FY,PROJ SCIENTIST-FY,promotion,high,246,0.517,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,PROJ SCIENTIST-FY,2,PROJ SCIENTIST-FY,3,claude
LECT-AY-CONTINUING,SR LECT-AY-CONTINUING,promotion,high,245,0.259,2014|2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,LECT-AY,2,LECT-AY,3,claude
"PHARMACIST, STAFF II",STAFF PHARMACIST 2,rename,high,245,0.918,2012,2011,2012,"PHARMACIST, STAFF",2,STAFF PHARMACIST,2,claude
"TECHNICIAN, HOSPITAL LAB, I",HOSP LAB TCHN 1,rename,high,244,0.853,2012,2011,2012,"TECHNICIAN, HOSPITAL LAB",1,HOSP LAB TCHN,1,claude
"ASSISTANT, MEDICAL, II",MED AST 2,rename,high,242,0.91,2012,2011,2012,"ASSISTANT, MEDICAL",2,MED AST,2,claude
POLICE OFFICER,POLICE OFCR,rename,high,241,0.896,2012,2011,2012,POLICE OFFICER,1,POLICE OFCR,1,claude
JR SPECIALIST NEX,JR SPECIALIST,variant,high,240,0.393,2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,SPECIALIST,0,SPECIALIST,0,claude
FINANCIAL ANL 4,FINANCIAL ANL 4 CX,variant,high,238,0.502,2025,2025,2025,FINANCIAL ANL,4,FINANCIAL ANL,4,claude
STDT LIFE DEV SPEC 3,STDT LIFE DEV SPEC 3 SV,variant,high,238,0.524,2025,2025,2025,STDT LIFE DEV SPEC,3,STDT LIFE DEV SPEC,3,claude
ASSOC PROF-AY-BUS/ECON/ENG,ASSOC PROF-AY-B/E/E,rename,high,237,0.752,2012,2011,2012,PROF-AY-BUS/ECON/ENG,2,PROF-AY-B/E/E,2,claude
EXEC AST 3,EXEC AST 3 CX,variant,high,237,0.44,2024|2025,2025,2024,EXEC AST,3,EXEC AST,3,claude
FINANCIAL ANL 2,FINANCIAL ANL 2 CX,variant,high,237,0.425,2025,2025,2025,FINANCIAL ANL,2,FINANCIAL ANL,2,claude
RSCH ADM 2,RSCH ADM 2 CX,variant,high,235,0.321,2023|2024,2025,2023,RSCH ADM,2,RSCH ADM,2,claude
ASSOC RES ---- - FISCAL YEAR,ASSOC RES-FY,rename,high,234,0.851,2012,2011,2012,RES ---- - FISCAL YEAR,2,RES-FY,2,claude
PR ADMINISTRATIVE ANALYST II,ADMIN ANL PRN 2,rename,high,234,0.762,2012,2011,2012,PR ADMINISTRATIVE ANALYST,2,ADMIN ANL PRN,2,claude
ASST RES-FY,ASSOC RES-FY,promotion,high,231,0.328,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,RES-FY,1,RES-FY,2,claude
"CLERK, SR/SECRETARY",CLERK SR OR SECR,rename,high,231,0.673,2012,2011,2012,"CLERK, SR/SECRETARY",1,CLERK SR OR SECR,1,claude
"NURSE, CLINICAL I",CLIN NURSE 2,rename,medium,231,0.479,2012,2011,2012,"NURSE, CLINICAL",1,CLIN NURSE,2,claude
PROGRAMMER/ANALYST I,PROGR ANL 1,rename,high,231,0.635,2012,2011,2012,PROGRAMMER/ANALYST,1,PROGR ANL,1,claude
"ANALYST, ADMINISTRATIVE, ASST",ADMIN ANL AST,rename,high,230,0.693,2012,2011,2012,"ANALYST, ADMINISTRATIVE",0,ADMIN ANL,0,claude
HOSP LAB TCHN 1,HOSP LAB TCHN 2,promotion,high,230,0.648,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,HOSP LAB TCHN,1,HOSP LAB TCHN,2,claude
"COORDINATOR, MED OFF SRVC, III",MED OFC SVC CRD 3,rename,high,228,0.916,2012,2011,2012,"COORDINATOR, MED OFF SRVC",3,MED OFC SVC CRD,3,claude
"NURSE, CLINICAL I","NURSE, CLINICAL II",promotion,high,227,0.471,2011,2011,2010,"NURSE, CLINICAL",1,"NURSE, CLINICAL",2,claude
STDT AFFAIRS OFCR 1,STDT AFFAIRS OFCR 2,promotion,high,227,0.221,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2025,2012,STDT AFFAIRS OFCR,1,STDT AFFAIRS OFCR,2,claude
"TECHNICIAN, HOSPITAL LAB, II",HOSP LAB TCHN 2,rename,high,227,0.808,2012,2011,2012,"TECHNICIAN, HOSPITAL LAB",2,HOSP LAB TCHN,2,claude
VOC NURSE,VOC NURSE SR,promotion,high,226,0.897,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,VOC NURSE,1,VOC NURSE,2,claude
BUS TCHL SUPP ANL 2,BUS TCHL SUPP ANL 2 TX,variant,high,225,0.628,2019|2020,2025,2019,BUS TCHL SUPP ANL,2,BUS TCHL SUPP ANL,2,claude
RECREATION PRG INSTR 2,RECR PRG INSTR 2,rename,high,224,0.845,2016,2015,2016,RECREATION PRG INSTR,2,RECR PRG INSTR,2,claude
PHARMACY TECHNICIAN II,PHARMACY TCHN 2,rename,high,222,0.917,2012,2011,2012,PHARMACY TECHNICIAN,2,PHARMACY TCHN,2,claude
PROJECT POLICY ANL 2,PROJECT POLICY ANL 3,promotion,high,222,0.318,2013|2014|2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,PROJECT POLICY ANL,2,PROJECT POLICY ANL,3,claude
PROF-AY,RECALL TEACHING,other,low,220,0.15,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2014,PROF-AY,3,RECALL TEACHING,1,claude
"BUILDING MAINTENANCE WORKER,SR",BLDG MAINT WORKER SR,rename,high,218,0.932,2012,2011,2012,"BUILDING MAINTENANCE WORKER,SR",1,BLDG MAINT WORKER,2,claude
CLIN NURSE 2,CLIN NURSE 4,promotion,medium,217,0.039,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,CLIN NURSE,2,CLIN NURSE,4,claude
CUSTODIAN SR,CUSTODIAN LD,promotion,high,217,0.26,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,CUSTODIAN,2,CUSTODIAN,3,claude
PROJECT POLICY ANL 3,PROJECT POLICY ANL 4,promotion,medium,216,0.178,2013|2014|2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,PROJECT POLICY ANL,3,PROJECT POLICY ANL,4,claude
"THERAPIST, RESPIRATORY, REG, I",REG RESP THER 1,rename,high,216,0.896,2012,2011,2012,"THERAPIST, RESPIRATORY, REG",1,REG RESP THER,1,claude
COMPUTER RESOURCE SPEC. II,COMPUTER RESC SPEC 2,rename,high,215,0.814,2012,2011,2012,COMPUTER RESOURCE SPEC.,2,COMPUTER RESC SPEC,2,claude
"SCIENTIST SPECIALIST,CL LAB",CLIN LAB SCI SPEC,rename,high,215,0.888,2012,2011,2012,"SCIENTIST SPECIALIST,CL LAB",1,CLIN LAB SCI SPEC,1,claude
"COORDINATOR, MED OFF SRVC, II",MED OFC SVC CRD 2,rename,high,214,0.814,2012,2011,2012,"COORDINATOR, MED OFF SRVC",2,MED OFC SVC CRD,2,claude
"NURSE, ADMINISTRATIVE, I",ADMIN NURSE 1,rename,high,214,0.907,2012,2011,2012,"NURSE, ADMINISTRATIVE",1,ADMIN NURSE,1,claude
PATIENT CARE AST,PAT CARE AST,rename,high,214,0.723,2016,2015,2016,PATIENT CARE,0,PAT CARE,0,claude
LECT IN SUMMER SESSION,LECT-AY,other,low,213,0.153,2013|2014|2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,LECT IN SUMMER SESSION,1,LECT-AY,1,claude
PHARMACY TCHN 2,PHARMACY TCHN 3,promotion,high,213,0.758,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,PHARMACY TCHN,2,PHARMACY TCHN,3,claude
SR ADMIN ANALYST - SUPERVISOR,ADMIN ANL SR SUPV,rename,high,212,0.782,2012,2011,2012,SR ADMIN ANALYST - SUPERVISOR,1,ADMIN ANL SR SUPV,1,claude
ASC PHYSCN DIPLOMATE,HS ASST CLIN PROF-HCOMP,other,low,211,0.33,2013|2014|2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,ASC PHYSCN DIPLOMATE,1,HS CLIN PROF-HCOMP,1,claude
LECT-AY-CONTINUING,LECT IN SUMMER SESSION,other,low,211,0.223,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,LECT-AY,2,LECT IN SUMMER SESSION,1,claude
MANAGEMENT SERVICES OFFICER I,MGT SVC OFCR 1,rename,high,211,0.71,2012,2011,2012,MANAGEMENT SERVICES OFFICER,1,MGT SVC OFCR,1,claude
PROGRAM REPRESENTATIVE III,PRG REPR 3,rename,high,211,0.762,2012,2011,2012,PROGRAM REPRESENTATIVE,3,PRG REPR,3,claude
ASSISTANT PROF IN RES-HCOMP,ASST PROF IN RES-HCOMP,rename,high,209,0.645,2012,2011,2012,PROF IN RES-HCOMP,1,PROF IN RES-HCOMP,1,claude
FINANCIAL SVC ANL 3,FINANCIAL SVC ANL 3 CX,variant,high,209,0.493,2025,2025,2025,FINANCIAL SVC ANL,3,FINANCIAL SVC ANL,3,claude
BLANK AST 3,BLANK AST 4,promotion,medium,208,0.026,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,BLANK AST,3,BLANK AST,4,claude
RESID PHYS I/NON REP,RESID PHYS I/REP,variant,high,206,0.16,2020|2022|2023,2025,2012,RESID PHYS,1,RESID PHYS,1,claude
COMMUNITY HEALTH PROGRAM REP,CMTY HEALTH PRG REPR,rename,high,205,0.807,2012,2011,2012,COMMUNITY HEALTH PROGRAM REP,1,CMTY HEALTH PRG REPR,1,claude
FINANCIAL ANL 3,FINANCIAL ANL 4,promotion,high,205,0.249,2013|2014|2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,FINANCIAL ANL,3,FINANCIAL ANL,4,claude
ASSOC ADJ PROF-HCOMP,ADJ PROF-HCOMP,promotion,high,204,0.575,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,ADJ PROF-HCOMP,2,ADJ PROF-HCOMP,3,claude
ASSOC DIR (FUNCTIONAL AREA),DIR ASC,rename,high,204,0.803,2012,2011,2012,ASSOC DIR (FUNCTIONAL AREA),1,DIR ASC,1,claude
"COLLECTIONS REPRESENTATIVE, SR",COLLECTIONS REPR SR,rename,high,203,0.944,2012,2011,2012,COLLECTIONS REPRESENTATIVE,2,COLLECTIONS REPR,2,claude
STDT SVC ADVISOR 2,STDT SVC ADVISOR 3,promotion,high,203,0.388,2013|2014|2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,STDT SVC ADVISOR,2,STDT SVC ADVISOR,3,claude
HEALTH PROFNS EDUC SPEC 3,HEALTH PROFNS EDUC SPEC 3 CX,variant,high,201,0.586,2025,2025,2025,HEALTH PROFNS EDUC SPEC,3,HEALTH PROFNS EDUC SPEC,3,claude
RECALL NON-SENATE ACAD,RECALL NON-FACULTY ACAD,rename,high,201,0.976,2013,2012,2013,RECALL NON-SENATE ACAD,1,RECALL NON-FACULTY ACAD,1,claude
LAB AST 1,LAB AST 2,promotion,high,200,0.327,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,LAB AST,1,LAB AST,2,claude
LIBRARY ASST IV,LIBRARY AST 4,rename,high,200,0.909,2012,2011,2012,LIBRARY ASST,4,LIBRARY AST,4,claude
ANALYST IV-SUPERVISOR,ANL 4 SUPV,rename,high,197,0.657,2012,2011,2012,ANALYST-SUPERVISOR,4,ANL SUPV,4,claude
ANL 3,ANL 4,promotion,medium,197,0.157,2013|2014|2015|2016|2017|2018|2019|2021,2025,2012,ANL,3,ANL,4,claude
HR GENERALIST 2,HR GENERALIST 3,promotion,high,197,0.525,2011|2012|2013|2014|2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2010,HR GENERALIST,2,HR GENERALIST,3,claude
HOSP BLANK AST 2,HOSP BLANK AST 3,promotion,high,195,0.358,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,HOSP BLANK AST,2,HOSP BLANK AST,3,claude
PATIENT CARE ASSISTANT,PATIENT CARE AST,rename,high,194,0.924,2012,2011,2012,PATIENT CARE ASSISTANT,1,PATIENT CARE,0,claude
POSTDOC-EMPLOYEE,POSTDOC-EMPLOYEE NEX,variant,high,194,0.025,2017|2019|2020|2021|2022|2023|2024|2025,2025,2017,POSTDOC-EMPLOYEE,1,POSTDOC-EMPLOYEE,1,claude
PROFESSOR - FISCAL YR,PROF-FY,rename,high,194,0.886,2012,2011,2012,PROFESSOR - FISCAL YR,3,PROF-FY,3,claude
COLLECTIONS REPR SR,COLL REPR SR,rename,high,193,0.894,2016,2015,2016,COLLECTIONS REPR,2,COLL REPR,2,claude
LECTURER IN SUMMER SESSION,LECT IN SUMMER SESSION,rename,high,193,0.617,2012,2011,2012,LECTURER IN SUMMER SESSION,1,LECT IN SUMMER SESSION,1,claude
"NURSE, CLINICAL IV",CLIN NURSE 4,rename,high,193,0.906,2012,2011,2012,"NURSE, CLINICAL",4,CLIN NURSE,4,claude
RESID PHYS/SUBSPEC 4-8/REP,HS ASST CLIN PROF-HCOMP,other,low,193,0.21,2021|2022|2023|2024|2025,2025,2012,RESID PHYS/SUBSPEC 4-8,3,HS CLIN PROF-HCOMP,1,claude
ANALYST V-SUPERVISOR,ANL 5 SUPV,rename,high,192,0.744,2012,2011,2012,ANALYST-SUPERVISOR,5,ANL SUPV,5,claude
"PARTNER,ADMIN CARE/CLINICAL",ADMIN CARE CLIN PARTNER,rename,high,192,0.919,2012,2011,2012,"PARTNER,ADMIN CARE/CLINICAL",1,ADMIN CARE CLIN PARTNER,1,claude
PROF-AY,DEPARTMENT CHAIR,other,low,192,0.131,2016|2018|2019,2025,2012,PROF-AY,3,DEPARTMENT CHAIR,1,claude
LABORATORY ASST III,LAB AST 3,rename,high,190,0.779,2012,2011,2012,LABORATORY ASST,3,LAB AST,3,claude
"ADMITTING WORKER, PRIN",ADMITTING WORKER PRN,rename,high,189,0.94,2012,2011,2012,ADMITTING WORKER,3,ADMITTING WORKER,3,claude
HEALTH PROFNS EDUC SPEC 2,HEALTH PROFNS EDUC SPEC 2 CX,variant,high,189,0.556,2023|2024|2025,2025,2023,HEALTH PROFNS EDUC SPEC,2,HEALTH PROFNS EDUC SPEC,2,claude
SRA 3,SRA 4,promotion,high,189,0.219,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,SRA,3,SRA,4,claude
EHS SPEC 3,EHS SPEC 3 RX,variant,high,187,0.527,2025,2025,2025,EHS SPEC,3,EHS SPEC,3,claude
STERILE PROCESSING TCHN 1,STERILE PROCESSING TCHN 2,promotion,high,186,0.823,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,STERILE PROCESSING TCHN,1,STERILE PROCESSING TCHN,2,claude
ACADEMIC COORD II - FISCAL YR,ACADEMIC COORD II-FY,rename,high,185,0.83,2012,2011,2012,ACADEMIC COORD II - FISCAL YR,1,ACADEMIC COORD II-FY,1,claude
ASSOCIATE PROF IN RES-HCOMP,ASSOC PROF IN RES-HCOMP,rename,high,184,0.692,2012,2011,2012,PROF IN RES-HCOMP,2,PROF IN RES-HCOMP,2,claude
MED AST 2 PD,MED AST 2,variant,high,184,0.597,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,MED AST,2,MED AST,2,claude
"SOCIAL WORKER, CLINICAL II",CLIN SOCIAL WORKER 2,rename,high,184,0.836,2012,2011,2012,"SOCIAL WORKER, CLINICAL",2,CLIN SOCIAL WORKER,2,claude
APPLICATIONS PROGR 3,APPLICATIONS PROGR 4,promotion,high,182,0.574,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,APPLICATIONS PROGR,3,APPLICATIONS PROGR,4,claude
ASST DIR (FUNCTIONAL AREA),DIR AST,rename,high,182,0.758,2012,2011,2012,ASST DIR (FUNCTIONAL AREA),1,DIR,0,claude
CLIN NURSE 3,CLIN NURSE 2,other,low,180,0.16,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,CLIN NURSE,3,CLIN NURSE,2,claude
"NURSE, CLINICAL II","NURSE, CLINICAL III",promotion,medium,179,0.025,2011,2011,2010,"NURSE, CLINICAL",2,"NURSE, CLINICAL",3,claude
"NURSE, RESOURCE, PER DIEM",RESC NURSE PD,rename,high,179,0.765,2012,2011,2012,"NURSE, RESOURCE, PER DIEM",1,RESC NURSE,3,claude
PATIENT COMM REPR,PAT COMM REPR,rename,high,179,0.877,2016,2015,2016,PATIENT COMM REPR,1,PAT COMM REPR,1,claude
ASSOC PROJECT_____-FISCAL YEAR,ASSOC PROJ SCIENTIST-FY,rename,high,178,0.791,2012,2011,2012,PROJECT_____-FISCAL YEAR,2,PROJ SCIENTIST-FY,2,claude
PROGRAMMER/ANALYST IV - SUPERV,PROGR ANL 4 SUPV,rename,high,177,0.783,2012,2011,2012,PROGRAMMER/ANALYST - SUPERV,4,PROGR ANL SUPV,4,claude
PROGR ANL 3,SYS ADM 3,other,low,175,0.11,2015|2016|2017|2019|2020|2021|2022,2024,2012,PROGR ANL,3,SYS ADM,3,claude
ASSISTANT PROFESSOR-ACAD YR,ASSOC PROF-AY,other,low,174,0.172,2012,2011,2012,PROFESSOR-ACAD YR,1,PROF-AY,2,claude
ASSOC PROF OF CLIN_____-HCOMP,ASSOC PROF OF CLIN-HCOMP,rename,high,174,0.728,2012,2011,2012,PROF OF CLIN_____-HCOMP,2,PROF OF CLIN-HCOMP,2,claude
MANAGEMENT SERVICES OFFICER II,MGT SVC OFCR 2,rename,high,174,0.693,2012,2011,2012,MANAGEMENT SERVICES OFFICER,2,MGT SVC OFCR,2,claude
RSCH AND DEV ENGR 3,RSCH AND DEV ENGR 3 TX,variant,high,174,0.659,2025,2025,2025,RSCH AND DEV ENGR,3,RSCH AND DEV ENGR,3,claude
ASSOC RES-FY,RES-FY,promotion,high,173,0.496,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,RES-FY,2,RES-FY,3,claude
"SOCIAL WORKER, CLINICAL III",CLIN SOCIAL WORKER 3,rename,high,172,0.945,2012,2011,2012,"SOCIAL WORKER, CLINICAL",3,CLIN SOCIAL WORKER,3,claude
"ADMIN ANALYST, PRIN, SUPV",ADMIN ANL PRN SUPV,rename,high,170,0.829,2012,2011,2012,"ADMIN ANALYST, PRIN, SUPV",1,ADMIN ANL PRN SUPV,1,claude
PROGR ANL 3,PROGR ANL 4,promotion,medium,170,0.107,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022,2024,2012,PROGR ANL,3,PROGR ANL,4,claude
PROGR ANL 4,APPLICATIONS PROGR 4,other,low,169,0.183,2013|2015|2016|2017|2019|2020|2021|2022|2023|2024,2023,2012,PROGR ANL,4,APPLICATIONS PROGR,4,claude
ADMISSIONS RECRMT SPEC 3,ADMISSIONS RECRMT SPEC 3 SV,variant,high,168,0.457,2025,2025,2025,ADMISSIONS RECRMT SPEC,3,ADMISSIONS RECRMT SPEC,3,claude
RESID PHYS/SUBSPEC 4-8/REP,OTH POST-MD TRAIN 2-8/REP,other,low,168,0.183,2021|2022|2023|2024|2025,2025,2019,RESID PHYS/SUBSPEC 4-8,3,OTH POST-MD TRAIN 2-8,1,claude
RADLG TCHNO SR,RADLG TCHNO PRN,promotion,high,167,0.616,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,RADLG TCHNO,2,RADLG TCHNO,3,claude
CUSTODIAN,CUSTODIAN SR,promotion,high,166,0.47,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,CUSTODIAN,1,CUSTODIAN,2,claude
STDT ACAD ADVISOR 2,STDT ACAD ADVISOR 3,promotion,high,166,0.599,2013|2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,STDT ACAD ADVISOR,2,STDT ACAD ADVISOR,3,claude
ADMINISTRATIVE NURSE IV,ADMIN NURSE 4,rename,high,165,0.859,2012,2011,2012,ADMINISTRATIVE NURSE,4,ADMIN NURSE,4,claude
STERILE PROCESSING TCHN 2,STERILE PROCESSING TCHN 3,promotion,high,165,0.594,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,STERILE PROCESSING TCHN,2,STERILE PROCESSING TCHN,3,claude
BLANK AST 1,BLANK AST 3,promotion,medium,164,0.156,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,BLANK AST,1,BLANK AST,3,claude
LECT-AY,LECT-AY-1/10,lateral,medium,164,0.062,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2016,LECT-AY,1,LECT-AY,1,claude
RESID PHYS/SUBSPEC 4-8/REP,HS CLIN INSTR-HCOMP,other,low,164,0.179,2021|2022|2023|2024|2025,2025,2012,RESID PHYS/SUBSPEC 4-8,3,HS CLIN PROF-HCOMP,0,claude
_____ASSISTANT III-SUPVR,BLANK AST 3 SUPV,rename,high,163,0.691,2012,2011,2012,_____ASSISTANT-SUPVR,3,BLANK AST SUPV,3,claude
----- IN THE A.E.S.,AGRON AES,rename,high,162,0.936,2012,2011,2012,----- IN THE A.E.S.,1,AGRON AES,3,claude
ACAD HR ANL 2,ACAD HR ANL 3,promotion,high,162,0.494,2013|2014|2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,ACAD HR ANL,2,ACAD HR ANL,3,claude
FOOD SVC WORKER,FOOD SVC WORKER SR,promotion,high,160,0.263,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,FOOD SVC WORKER,1,FOOD SVC WORKER,2,claude
FUNDRAISER 3,FUNDRAISER 4,promotion,high,159,0.662,2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2010,FUNDRAISER,3,FUNDRAISER,4,claude
PROF-HCOMP,RECALL FACULTY,other,low,159,0.29,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2014,PROF-HCOMP,3,RECALL FACULTY,1,claude
"NURSE, ADMINISTRATIVE II",ADMIN NURSE 2 NEX,rename,medium,158,0.486,2012,2011,2012,"NURSE, ADMINISTRATIVE",2,ADMIN NURSE,2,claude
ASSOCIATE ADJUNCT PROF-HCOMP,ASSOC ADJ PROF-HCOMP,rename,high,157,0.714,2012,2011,2012,ADJUNCT PROF-HCOMP,2,ADJ PROF-HCOMP,2,claude
REC PROGRAM INSTRUCTOR 2,RECREATION PRG INSTR 2,rename,high,157,0.877,2012,2011,2012,REC PROGRAM INSTRUCTOR,2,RECREATION PRG INSTR,2,claude
BUS SYS ANL 3,BUS SYS ANL 4,promotion,high,156,0.47,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,BUS SYS ANL,3,BUS SYS ANL,4,claude
"FOOD SERVICE WORKER, PRIN, MC",MED CTR FOOD SVC WORKER PRN,rename,high,156,0.867,2012,2011,2012,FOOD SERVICE WORKER,3,MED CTR FOOD SVC WORKER,3,claude
"AUTO EQUIPMENT OPERATOR, SR",AUTO EQUIP OPR SR,rename,high,155,0.951,2012,2011,2012,AUTO EQUIPMENT OPERATOR,2,AUTO EQUIP OPR,2,claude
RECALL NON-FACULTY ACAD,RECALL NON-FACULTY ACAD NEX,variant,high,155,0.552,2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2016,RECALL NON-FACULTY ACAD,1,RECALL NON-FACULTY ACAD,1,claude
SRA 2,SRA 2 NEX,variant,high,155,0.181,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,SRA,2,SRA,2,claude
ADMISSIONS RECRMT SPEC 1,ADMISSIONS EVALUATOR 3,other,low,153,0.725,2021|2022|2024|2025,2025,2012,ADMISSIONS RECRMT SPEC,1,ADMISSIONS EVALUATOR,3,claude
"CUSTODIAN, MC",MED CTR CUSTODIAN,rename,high,153,0.836,2012,2011,2012,"CUSTODIAN, MC",1,MED CTR CUSTODIAN,1,claude
